Frame,Time,Oar 0 Angle,Oar 1 Angle,Oar 2 Angle,Oar 3 Angle
4.0,0.06666666666666667,178.9325003162598,-178.83086067209257,-176.82016988013578,-174.3824194098732
5.0,0.1,-178.5024122609825,-176.09950625761812,-174.4470289669632,-173.3455749539934
6.0,0.13333333333333333,-175.6012946450045,-174.55966796899452,-172.9716037610504,-173.23382517744693
7.0,0.16666666666666669,-173.29016319224309,-171.6743496695732,-171.54497232282256,-170.69005982501398
8.0,0.2,-170.0636100565717,-169.69515353123398,-169.28687697720898,-169.84573341979976
9.0,0.23333333333333334,-168.5304696671331,-168.8351198224514,-168.11134196037202,-167.77487732426428
10.0,0.26666666666666666,-165.6299984848207,-166.32869286780416,-166.50426671920417,-167.96940390346214
11.0,0.3,-162.74104570709594,-164.6237487511738,-164.35775354279127,-167.27564431457765
12.0,0.33333333333333337,-161.18811069748088,-163.42599224309103,-162.89727103094762,-165.17352002964432
13.0,0.3666666666666667,-157.43299092212538,-161.76059915334886,-162.01266534793854,-165.96375653207352
14.0,0.4,-169.1769887737929,-160.15930191603167,-160.48412699041728,-164.81416273779868
15.0,0.43333333333333335,-176.42366562500266,-158.69421638217122,-159.20588504449637,-163.30075576600638
16.0,0.4666666666666667,-177.35745470593528,-158.02549200852803,-158.81865049973376,-162.5528115767178
17.0,0.5,-177.27368900609372,-156.62583563495178,-156.63088683651793,-162.28420729362304
18.0,0.5333333333333333,-176.3670492605118,-154.42270922256182,-155.17945866451092,-160.8209919741893
19.0,0.5666666666666667,179.11859600341785,-153.43494882292202,-155.65891006330747,-159.17910714668918
20.0,0.6,180.0,-152.30052719194504,-153.71173787509977,-157.6593520400059
21.0,0.6333333333333334,-179.13194855025444,-150.20240870917613,-152.37892501692448,-157.27026792005532
22.0,0.6666666666666667,-179.11859600341785,-149.32271997820357,-151.0040404858816,-156.03751102542182
23.0,0.7000000000000001,-177.436229788535,-148.49573328079583,-151.34288254344187,-155.6744247608739
24.0,0.7333333333333334,-176.58341180822865,-147.2647737278924,-150.54632727307907,-154.38451567935783
25.0,0.7666666666666667,-175.10090754621226,-146.41335434637722,-149.62087398863167,-154.07509849244556
26.0,0.8,-175.91438322002514,-145.0975043840753,-148.54317664244476,-153.43494882292202
27.0,0.8333333333333334,-175.16958004171008,-143.9992510458393,-148.650419134757,-152.52556837372285
28.0,0.8666666666666667,-176.72951207681643,-143.82037955202108,-147.87500155961249,-151.9661481085362
