Frame,Time,Oar 0 Angle,Oar 1 Angle,Oar 2 Angle,Oar 3 Angle
35.0,1.1,16.05607659939843,10.064568207251865,160.85554218880335,159.29388760258507
36.0,1.1333333333333333,14.676393137450015,8.74616226255521,162.08749061403674,161.32665125115773
37.0,1.1666666666666667,13.657642505812152,7.095753951286169,163.86930144788712,163.44292862436333
38.0,1.2,11.66329403486387,4.724451697170886,165.63858533818663,165.43051234692976
39.0,1.2333333333333334,10.238197666512981,3.2572219406669563,167.55666579210674,167.83779648031816
40.0,1.2666666666666666,8.445103466044642,1.380354073444452,168.7916556810735,169.48255421190635
41.0,1.3,8.445103466044642,1.3748347805694054,168.84177709070858,169.24903300681194
42.0,1.3333333333333333,6.88172363063695,-0.9093804491991415,170.82957516221097,171.57303097851934
43.0,1.3666666666666667,4.823658197595177,-2.70487598573565,172.18958559649928,173.99099404250546
44.0,1.4,3.10049144980778,-5.294143007399988,174.01704349718395,175.91438322002514
45.0,1.4333333333333333,1.414423211402155,-7.206057001383273,175.09393301435222,178.20307472730403
46.0,1.4666666666666666,-0.9277857744616792,-9.073282770493714,177.06432655357884,179.77792444730653
47.0,1.5,-1.1643880401238758,-9.107334312254409,177.2970559621853,180.0
48.0,1.5333333333333332,-2.74808818005375,-11.18419212099059,178.53744678090217,-178.01747613891564
49.0,1.5666666666666667,-5.069420132612497,-13.058243394871269,180.0,-175.6347422649721
50.0,1.6,-7.2654468998391115,-14.95863607372087,-178.30821143173554,-173.6356226162218
51.0,1.6333333333333333,-9.019322431381685,-17.241459398939977,-176.39369137740337,-171.50144112050634
52.0,1.6666666666666667,-11.530130388801787,-19.161845893775517,-175.19651424093095,-169.7533415066724
53.0,1.7,-11.749983571776673,-19.290046219188735,-175.19651424093095,-169.67561199736923
54.0,1.7333333333333334,-14.25347760998758,-20.992853373114194,-173.50065372034544,-166.92303808008054
55.0,1.7666666666666666,-16.09908592799848,-22.380135051959574,-172.07307331731042,-164.05460409907712
56.0,1.8,-21.982438203118637,-24.877611194528523,-170.5376777919744,-162.18855983472193
57.0,1.8333333333333333,-24.683320487960245,-27.03467819676764,-168.92979742206066,-159.8293465881496
58.0,1.8666666666666667,-28.739795291688043,-30.08796569646575,-166.9688425373277,-156.83071678789457
59.0,1.9,-27.64597536373868,-29.98163936884934,-167.20654854000443,-156.91822029191968
60.0,1.9333333333333333,-31.859666890730967,-32.38945799605885,-164.8107132628171,-153.86093189956517
61.0,1.9666666666666666,-35.98395105198978,-35.36246188706905,-162.67591046002903,-151.71659082126655
62.0,2.0,-38.75474732132303,-38.38874804327923,-160.4322314187105,-147.96450866041926
63.0,2.033333333333333,-41.735716275981474,-45.84500922320201,-157.9057696584172,-145.9158824316931
64.0,2.0666666666666664,-45.0,-50.03193422282921,-150.02710941402862,-142.7384380871439
65.0,2.1,-45.0,-49.86833237468518,-149.89538965437205,-142.56839702158942
66.0,2.1333333333333333,-48.72664492323926,-52.32388250582459,-146.97613244420336,-139.64633549119588
67.0,2.1666666666666665,-51.68386410803412,-53.97262661489639,-143.73146726941422,-137.4716647616334
68.0,2.2,-53.949458084208885,-54.98846489091767,-141.21182202900914,-135.61605990839925
69.0,2.2333333333333334,-56.132820891274136,-55.98549777896755,-138.7102312153013,-134.37949235216607
70.0,2.2666666666666666,-56.48541670175861,-54.62524815612393,-137.1647891534535,-135.2024577422182
71.0,2.3,-56.84207611532777,-54.950626687951605,-137.1647891534535,-135.0
72.0,2.3333333333333335,-57.0022948987837,-53.039444550836656,-138.0940580589171,-136.22757883213455
73.0,2.3666666666666667,-55.38180515923824,-50.61758059012683,-138.96465472285612,-138.01278750418336
74.0,2.4,-53.31027716752419,-49.0413558544315,-140.5993393365206,-139.94407441079784
75.0,2.433333333333333,-51.34019174590991,-47.20259816176581,-142.55820340349425,-141.5142102829997
76.0,2.466666666666667,-48.98119865642163,-44.534190917235,-144.43205502673484,-143.8504175300239
77.0,2.5,-49.17476989191244,-44.534190917235,-144.5222550099252,-143.18503597060547
78.0,2.533333333333333,-46.24536426676835,-41.742778059333055,-147.10767025676037,-146.08641301165966
79.0,2.5666666666666664,-43.56277300367812,-38.79655209830817,-149.03624346792648,-148.62139792921548
80.0,2.6,-39.91589659040556,-36.91941861839893,-151.21338168998597,-152.19448603007243
81.0,2.6333333333333333,-37.72499504211075,-33.41658139531293,-153.43494882292202,-154.28102752266113
82.0,2.6666666666666665,-34.47921568612564,-31.974159353129178,-155.94747058695114,-157.25696265944967
83.0,2.7,-34.47921568612564,-31.818853928340246,-155.94747058695114,-157.25696265944967
84.0,2.7333333333333334,-31.15379158817347,-30.31480296287848,-160.1678701497816,-160.38212059188172
85.0,2.7666666666666666,-27.19464978548826,-27.06653315895955,-163.04810575455306,-163.42904883308617
86.0,2.8,-23.42009371237997,-23.275808498586166,-166.5268418872689,-167.52953827833113
87.0,2.8333333333333335,-19.692021238736523,-20.06060302042111,-170.10939505824197,-171.06940989958102
88.0,2.8666666666666667,-18.90845688165694,-16.638805670426283,-173.2387614899628,-174.5076754428726
89.0,2.9,-19.093492000485615,-16.7296237536881,-173.2731159509987,-174.4813058849438
90.0,2.933333333333333,-15.124007308310569,-12.70402361405684,-176.49646835521557,-178.86557836902298
91.0,2.966666666666667,-6.9810574068297955,-8.989248540601558,179.09061955080085,177.1518120886121
92.0,3.0,-2.935673446421173,-7.57467968315785,174.44276779044918,172.6193636411592
93.0,3.033333333333333,1.4840146756621062,-2.8155566842112285,169.57628278993403,168.26922466771262
94.0,3.0666666666666664,5.770936221574343,7.298639391740286,164.69665253769907,163.45105914502867
95.0,3.1,5.440332031005506,7.020779145201194,164.69665253769907,163.1506885881749
96.0,3.1333333333333333,9.614569270900953,5.801586887647001,160.04110978245396,158.8483086165352
97.0,3.1666666666666665,12.70402361405684,13.722297133133546,158.71056191934818,154.3231843181618
98.0,3.2,17.622297228668273,13.541107082051465,155.31101843316154,150.9131891704684
99.0,3.2333333333333334,19.872175819243903,18.117523929169526,152.24145939893998,148.69587650440903
100.0,3.2666666666666666,20.825218042365268,16.865594018173027,151.14971009174363,148.8668968294945
101.0,3.3,20.825218042365268,16.93787583840791,151.55707137563664,148.58599120788892
102.0,3.3333333333333335,20.40274584087714,15.340890764004898,152.11803641712876,149.25703535965005
103.0,3.3666666666666667,19.457979011589845,13.392497753751098,152.91644913563135,150.29468760527064
104.0,3.4,18.333180227434664,11.826943522873268,154.20397350550004,152.3143918691125
105.0,3.433333333333333,16.940615231655475,9.88587200250332,155.4401089562989,153.8531587644191
106.0,3.466666666666667,15.39121293526326,8.162974283718007,156.62157398301923,156.03751102542182
107.0,3.5,15.39121293526326,7.932758314172063,156.8734796112512,155.35322914806883
108.0,3.533333333333333,14.25947264821049,5.984952315115409,158.24849971662854,158.03040377701262
109.0,3.5666666666666664,12.724355685422369,3.844135576292384,159.81419699053515,159.86369657175186
110.0,3.6,10.673981220222517,1.5724304276733532,161.48284781954547,162.9398859576474
111.0,3.6333333333333333,9.557104221670667,-0.22121812666486637,163.5959654139311,165.82485794474752
112.0,3.6666666666666665,7.232378708277655,-2.642545294064724,165.47458353423156,168.35824239704294
113.0,3.6999999999999997,7.268884921647515,-2.3950055168723465,165.23080146970838,168.30106239119735
114.0,3.7333333333333334,5.6544208226407005,-4.582612973959352,167.22875743509857,171.08507304285214
115.0,3.7666666666666666,3.646271208756838,-6.672199997199425,169.07719528013072,173.17884763521565
116.0,3.8,1.9368003862210483,-8.372110543292523,170.7371748253007,175.6839724801344
117.0,3.8333333333333335,-0.8263241397292475,-10.684912400002716,172.7554931475588,178.14384195255113
118.0,3.8666666666666667,-2.739335721918572,-12.094757077012103,174.28940686250036,-179.47194325109984
119.0,3.9,-2.726310993906266,-12.460625536441388,174.2656720753273,-179.7383772543052
120.0,3.933333333333333,-5.169827887557858,-13.535856369134248,175.76360520094116,-177.11137845015705
121.0,3.966666666666667,-7.862545622155016,-15.145706144430184,177.6626941408762,-175.063975889916
122.0,4.0,-10.619655276155134,-16.738758558427644,179.29845408765476,-172.7468053872747
123.0,4.033333333333333,-13.392497753751098,-18.30413676821729,-178.82607045560738,-170.45323307859616
124.0,4.066666666666666,-16.570951166913854,-20.508098971768437,-177.20729763428673,-168.23171106797935
125.0,4.1,-16.494891005062243,-20.508098971768437,-177.1959170048777,-168.53782046310448
126.0,4.133333333333333,-19.02560603756868,-22.557246634705653,-175.5655294938988,-165.96375653207352
127.0,4.166666666666667,-22.24902365721237,-25.472100529332966,-173.942304205479,-163.44964008966159
128.0,4.2,-25.114834886144564,-27.844170231032184,-171.90250764773725,-161.0682794101533
129.0,4.233333333333333,-28.009176708013836,-30.049913620987454,-170.00541645258463,-158.68208772453846
130.0,4.266666666666667,-31.42956561483852,-32.43976290315444,-168.09941031133314,-156.01093599044762
131.0,4.3,-31.338846293094495,-32.5500034921934,-168.55354090706146,-156.25050550713325
132.0,4.333333333333333,-34.151500069250325,-35.51379460056355,-166.1331031705055,-153.67170689482913
133.0,4.366666666666666,-37.431602978410574,-38.43474181542481,-164.5387822595581,-150.7887077422719
134.0,4.4,-41.488057348301055,-41.02953993955666,-162.02463313460797,-148.05252054129198
135.0,4.433333333333334,-44.581790058502904,-48.751729070525975,-159.3563912527964,-146.07859141821808
136.0,4.466666666666667,-47.544804379813094,-51.40744028253318,-151.5479796937845,-142.91750303482831
137.0,4.5,-47.12109639666145,-51.40744028253318,-151.5479796937845,-142.54492903875683
138.0,4.533333333333333,-49.72798781884221,-54.03605950291628,-148.73626830562256,-140.26239539959514
139.0,4.566666666666666,-52.76516601842534,-55.15198397076308,-146.09720159691653,-138.07333251107337
140.0,4.6,-54.958070598460985,-56.187112127282745,-143.74616226255523,-135.76902468257805
141.0,4.633333333333333,-56.899721136519474,-56.12668433706992,-141.00900595749454,-134.80964927337024
142.0,4.666666666666667,-57.482489384954484,-55.34605656440228,-139.34086006469127,-134.81336945643443
143.0,4.7,-57.482489384954484,-55.469174257711416,-139.51398845800128,-135.18663054356557
144.0,4.733333333333333,-56.802434207783556,-53.956635607911906,-139.25688440821511,-136.47827265668886
145.0,4.766666666666667,-56.309932474020215,-51.93838580533623,-139.89909245378777,-138.61188500922302
146.0,4.8,-54.16234704572172,-50.48948883431297,-141.34019174590992,-140.33215888165958
147.0,4.833333333333333,-52.05025025887314,-48.245254903890164,-143.03165609448374,-142.38257635272893
148.0,4.866666666666666,-50.15855178060605,-45.88140399658214,-145.08816978339001,-144.2800456877097
149.0,4.9,-49.76364169072618,-45.87690774143065,-145.14915179896826,-144.7066524093397
150.0,4.933333333333334,-47.164789153453505,-43.10541058783203,-147.51036684093953,-147.32777071131693
151.0,4.966666666666667,-43.631419193046874,-40.1510423849669,-149.25849130403807,-149.8369087615607
152.0,5.0,-41.23856252298466,-36.95239691138272,-151.53764578576795,-152.62639270968438
153.0,5.033333333333333,-37.85108053212071,-33.97654403625686,-153.5617091902497,-155.61987264900625
154.0,5.066666666666666,-35.19157899517295,-30.434235753443414,-156.76649432948355,-158.108432005036
155.0,5.1,-34.74678684214078,-30.434235753443414,-156.87094316521663,-158.19859051364818
156.0,5.133333333333333,-31.009777228612975,-26.933507702415692,-159.85523713293648,-161.64772901220792
157.0,5.166666666666667,-27.28420729362307,-23.41603075823041,-163.11786972201597,-165.20323775494268
158.0,5.2,-23.477399892092926,-19.4170659861462,-166.94475277620342,-168.84534026107173
159.0,5.233333333333333,-20.119633140818305,-15.401374363726248,-169.9920201985587,-172.51110079835993
160.0,5.266666666666667,-16.238841629692285,-11.101887711112568,-173.74966042221953,-176.50740683914395
161.0,5.3,-16.313852426260556,-11.061182461591796,-174.04754056203248,-176.23948929424307
162.0,5.333333333333333,-12.264773727892402,-7.2840236544168615,-177.51044707800085,179.1815445383114
163.0,5.366666666666666,-7.740341158837922,-3.0355691250555665,178.5820771685489,174.73034691730822
164.0,5.4,-3.628532155436422,0.6560298740817267,174.51870340530266,169.59228868750995
165.0,5.433333333333334,0.8550973962667232,4.855168417206752,169.90647863847744,164.61670303311868
166.0,5.466666666666667,5.508949698216058,8.068626219471518,164.39337785706888,159.9660768355371
167.0,5.5,5.481296594697345,7.8831393167297295,164.39337785706888,160.24597356156946
168.0,5.533333333333333,10.145544433896339,10.044158988074479,159.2584121015626,155.6322701584444
169.0,5.566666666666666,13.293149214083826,13.986850566788787,154.88516511385544,151.9092718105408
170.0,5.6,17.744671625056935,18.055512121503035,150.4221613187387,149.25003269780362
171.0,5.633333333333333,19.632595537530406,17.296771815433825,147.88818512576572,148.12686301872736
172.0,5.666666666666667,19.822464570365216,15.651406453855403,148.34872711328737,147.60015982608067
173.0,5.7,19.739180835894842,15.651406453855403,148.2405199151872,147.86275101895822
